symbol,SJ_M9,SJ_M10,SJ_M7,SJ_M8
0610005C13Rik,0,4,25,18
0610006L08Rik,0,0,0,0
0610009B22Rik,218,86,189,124
0610009E02Rik,10,45,39,25
0610009L18Rik,38,12,57,39
0610010F05Rik,335,394,609,579
0610010K14Rik,435,331,191,164
0610012D04Rik,0,4,0,3
0610012G03Rik,1498,1113,1293,1002
0610025J13Rik,0,0,0,0
0610030E20Rik,681,487,862,849
0610031O16Rik,0,4,2,7
0610033M10Rik,0,0,0,1
0610037L13Rik,717,498,770,615
0610038B21Rik,25,25,54,42
0610039K10Rik,3,16,11,16
0610040B10Rik,11,0,24,17
0610040F04Rik,0,0,0,0
0610040J01Rik,103,58,22,13
0610043K17Rik,0,0,2,2
0710001A04Rik,0,0,0,2
1010001B22Rik,3,0,4,8
1010001N08Rik,4,10,60,68
1100001I12Rik,0,0,0,0
1110002E22Rik,15,1,89,84
1110002J07Rik,16,15,0,2
1110002L01Rik,88,73,204,161
1110002O04Rik,0,0,1,0
1110003F10Rik,2,0,13,14
1110004F10Rik,1872,1530,1892,1415
1110006O24Rik,12,2,23,17
1110008E08Rik,0,0,0,0
1110008L16Rik,144,278,146,142
1110008P14Rik,490,297,418,288
1110012L19Rik,261,227,278,236
1110013H19Rik,2,10,8,4
1110015O18Rik,0,0,0,0
1110017D15Rik,4,0,29,30
1110018N20Rik,0,0,0,0
1110019B22Rik,0,3,0,0
1110019D14Rik,45,21,33,35
1110020A21Rik,6,3,15,7
1110025L11Rik,0,0,0,1
1110025M09Rik,25,33,109,88
1110028F11Rik,0,0,0,0
1110028F18Rik,0,0,0,0
1110032A03Rik,178,205,188,109
1110032F04Rik,0,18,1,1
1110035H17Rik,1,0,9,20
1110036E04Rik,0,0,0,0
1110038B12Rik,641,491,1239,1096
1110038F14Rik,530,560,603,530
1110046J04Rik,37,15,52,46
1110051M20Rik,436,511,620,571
1110057P08Rik,0,0,0,0
1110059E24Rik,603,497,426,429
1110059G10Rik,270,161,188,136
1110060G06Rik,0,0,0,0
1110065P20Rik,348,206,461,395
1190001M18Rik,6,8,3,10
1190002N15Rik,375,235,69,62
1190005I06Rik,42,25,44,34
1190007I07Rik,108,63,142,125
1190028D05Rik,0,0,0,0
1200007C13Rik,4,8,1,4
1300002E11Rik,92,37,93,93
1300014J16Rik,6,0,21,33
1300017J02Rik,0,0,2,11
1500002C15Rik,43,34,128,112
1500002F19Rik,2,0,0,6
1500004A13Rik,159,206,462,392
1500005C15Rik,3,0,7,3
1500009C09Rik,0,0,0,0
1500009L16Rik,0,0,11,4
1500011B03Rik,143,106,162,140
1500011K16Rik,372,196,122,106
1500012K07Rik,0,0,0,0
1500015A07Rik,34,44,101,117
1500015L24Rik,0,0,0,0
1500015O10Rik,64,126,198,430
1500026H17Rik,4,0,11,13
1500035N22Rik,0,0,0,0
1520401A03Rik,0,0,4,4
1600002K03Rik,128,86,68,61
1600010M07Rik,60,9,15,10
1600012H06Rik,685,488,939,796
1600012P17Rik,0,0,0,0
1600014C10Rik,842,605,435,338
1600014C23Rik,1,0,0,0
1600015I10Rik,0,0,0,0
1600017P15Rik,0,0,1,0
1600019K03Rik,0,0,0,0
1600020E01Rik,54,249,280,300
1600023N17Rik,2,6,4,4
1600025M17Rik,0,0,0,0
1600027J07Rik,0,0,0,0
1600029O15Rik,0,0,0,0
1700001C02Rik,0,0,0,0
1700001C19Rik,3,3,1,2
1700001D01Rik,0,0,0,0
1700001F09Rik,0,0,0,0
1700001G01Rik,0,0,0,0
1700001G11Rik,2,12,1,0
1700001G17Rik,2,7,18,29
1700001J03Rik,0,0,0,2
1700001J04Rik,0,0,0,0
1700001J11Rik,0,0,0,0
1700001K19Rik,0,0,0,4
1700001L05Rik,29,35,33,21
1700001L19Rik,3,0,2,2
1700001N15Rik,0,0,0,0
1700001O22Rik,6,2,6,12
1700001P01Rik,0,0,0,1
1700003C15Rik,0,0,0,0
1700003D09Rik,0,0,0,1
1700003E16Rik,22,31,17,18
1700003E24Rik,0,0,0,0
1700003F12Rik,38,9,14,20
1700003G13Rik,0,0,0,0
1700003G18Rik,0,0,0,1
1700003H04Rik,0,0,0,0
1700003I16Rik,1,1,13,14
1700003I22Rik,0,0,0,0
1700003L19Rik,0,0,0,0
1700003M07Rik,0,0,0,1
1700003N22Rik,0,0,2,0
1700003P14Rik,0,0,0,0
1700006A11Rik,0,0,0,0
1700006F04Rik,0,0,0,0
1700006H21Rik,2,0,0,0
1700006J14Rik,11,2,1,1
1700006P03Rik,0,0,0,0
1700007E05Rik,4,13,52,31
1700007F19Rik,0,0,0,0
1700007J10Rik,0,0,1,1
1700007K13Rik,0,0,2,0
1700007L15Rik,12,0,12,9
1700007M16Rik,0,0,0,0
1700007P06Rik,4,2,22,21
1700008A23Rik,1,4,0,0
1700008B11Rik,2,0,1,4
1700008C04Rik,0,0,0,1
1700008H02Rik,12,13,22,49
1700008J07Rik,33,36,44,41
1700008K24Rik,0,0,0,0
1700008N11Rik,0,0,0,0
1700008O03Rik,9,28,66,25
1700008P02Rik,0,0,0,0
1700009C05Rik,0,0,0,0
1700009J07Rik,0,0,0,0
1700009N14Rik,0,0,0,0
1700010B08Rik,0,0,0,0
1700010B13Rik,0,7,4,9
1700010D01Rik,0,0,0,0
1700010G06Rik,1,6,1,1
1700010H22Rik,1,0,5,0
1700010I02Rik,0,0,0,0
1700010I14Rik,43,56,93,57
1700010J16Rik,0,0,0,0
1700010K23Rik,0,0,0,0
1700010K24Rik,0,0,0,0
1700010L04Rik,0,0,0,4
1700010N08Rik,0,0,0,0
1700011B04Rik,0,0,0,0
1700011C11Rik,0,0,0,0
1700011D18Rik,0,0,0,0
1700011L03Rik,0,0,0,0
1700011L22Rik,0,0,0,0
1700011M02Rik,0,0,0,0
1700012A03Rik,0,0,0,0
1700012B07Rik,0,0,0,0
1700012B09Rik,0,0,0,0
1700012C08Rik,0,0,0,0
1700012C14Rik,0,0,0,0
1700012D14Rik,51,2,78,122
1700012D16Rik,0,0,0,0
1700012E03Rik,0,0,0,0
1700012I11Rik,0,0,0,0
1700012J15Rik,0,0,0,0
1700012J22Rik,0,0,0,0
1700012P22Rik,0,0,0,0
1700013A02Rik,0,0,0,0
1700013D24Rik,0,0,0,0
1700013F07Rik,5,6,9,12
1700013G24Rik,0,0,0,0
1700013H16Rik,0,0,0,0
1700013M08Rik,0,0,0,0
1700013N06Rik,0,0,0,0
1700014D04Rik,0,0,1,0
1700014F14Rik,0,0,0,0
1700014L14Rik,0,0,0,0
1700015C15Rik,0,0,0,0
1700015C17Rik,0,0,0,0
1700015F17Rik,0,0,0,0
1700015G11Rik,0,0,0,0
1700015H07Rik,0,0,0,0
1700015I17Rik,6,25,21,17
1700015O11Rik,0,0,0,0
1700016A09Rik,2,0,1,2
1700016B01Rik,0,0,0,0
1700016B15Rik,2,0,1,0
1700016C15Rik,0,0,0,0
1700016D06Rik,0,0,0,0
1700016D08Rik,1,0,1,1
1700016F12Rik,2,0,0,0
1700016G22Rik,0,0,0,0
1700016H03Rik,0,0,0,0
